"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Timestamp","Comments","Subplot","Veg_plot","In_out","Species","final_ID","Canopy_status","Maximum_DBH_estimate_when_tagged_cm","girdled.","Year","IRGA_covered_area","Asat_multiplier"
2,"13:15:02",184,0,17.3,0.505,332,3.77,0.845,25.97,6,1.42,1,2.84,25.54,25.97,25.03,422.67,400.05,21.078,25.484,63.57,76.86,500.1,2001,87,99.02,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0077_20200721",2020-07-21 13:12:52,"13:12:53 ; ","D04W","SW","o","amel",77,"sap",3,"n",2020,6,1
3,"13:15:02",185,0,17.3,0.505,332,3.77,0.844,25.96,6,1.42,1,2.84,25.54,25.96,25.03,422.58,400.01,21.074,25.479,63.57,76.86,500.1,2000,88,99.02,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0077_20200721",2020-07-21 13:12:52,"13:12:53 ; ","D04W","SW","o","amel",77,"sap",3,"n",2020,6,1
4,"13:15:03",185.5,0,17.3,0.505,332,3.77,0.844,25.96,6,1.42,1,2.84,25.53,25.96,25.03,422.62,400.03,21.072,25.477,63.56,76.85,500.2,2000,90,99.02,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0077_20200721",2020-07-21 13:12:52,"13:12:53 ; ","D04W","SW","o","amel",77,"sap",3,"n",2020,6,1
5,"13:15:03",186,0,17.4,0.504,331,3.77,0.845,25.97,6,1.42,1,2.84,25.53,25.97,25.03,422.65,400.01,21.068,25.474,63.55,76.84,500.2,2001,91,99.02,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0077_20200721",2020-07-21 13:12:52,"13:12:53 ; ","D04W","SW","o","amel",77,"sap",3,"n",2020,6,1
1,"13:03:34",24.5,0,1.15,0.0151,271,0.211,1.36,26.56,6,1.42,1,2.84,25.75,26.56,25,402.42,400.93,21.29,21.538,63.4,64.14,500.2,1999,1066,99.03,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,0.7,-0.22,2.74,1,0,0.16,111115,"0099_20200721",2020-07-21 13:03:30,"13:03:32 ; ","D04W","SW","i","pist",99,"sap",4,"n",2020,1.28,4.67
2,"13:03:35",25,0,1.11,0.0151,275,0.212,1.36,26.56,6,1.42,1,2.84,25.75,26.56,25,402.33,400.89,21.292,21.541,63.4,64.14,500.2,1999,1095,99.03,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,0.7,-0.22,2.74,1,0,0.16,111115,"0099_20200721",2020-07-21 13:03:30,"13:03:32 ; ","D04W","SW","i","pist",99,"sap",4,"n",2020,1.28,4.67
3,"13:03:35",26,0,1,0.0153,288,0.214,1.35,26.56,6,1.42,1,2.84,25.76,26.56,25,402.12,400.81,21.293,21.544,63.41,64.15,500.2,1999,1118,99.03,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,0.7,-0.22,2.74,1,0,0.16,111115,"0099_20200721",2020-07-21 13:03:30,"13:03:32 ; ","D04W","SW","i","pist",99,"sap",4,"n",2020,1.28,4.67
4,"13:03:36",26.5,0,0.98,0.0152,289,0.212,1.35,26.55,6,1.42,1,2.84,25.76,26.55,25.01,402.05,400.77,21.297,21.546,63.41,64.16,500.2,1999,1131,99.03,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,0.7,-0.22,2.74,1,0,0.16,111115,"0099_20200721",2020-07-21 13:03:30,"13:03:32 ; ","D04W","SW","i","pist",99,"sap",4,"n",2020,1.28,4.67
5,"13:03:37",27,0,0.952,0.0153,293,0.213,1.35,26.55,6,1.42,1,2.84,25.76,26.55,25.01,401.96,400.72,21.297,21.547,63.41,64.16,500.2,1999,1136,99.03,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,0.7,-0.22,2.74,1,0,0.16,111115,"0099_20200721",2020-07-21 13:03:30,"13:03:32 ; ","D04W","SW","i","pist",99,"sap",4,"n",2020,1.28,4.67
1,"12:57:16",271.5,0,0.809,0.0105,268,0.162,1.49,26.94,6,1.42,1,2.84,25.92,26.94,25.04,400.89,399.84,20.823,21.013,61.39,61.96,500.1,1999,939,99.04,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,1,-0.22,2.74,1,0,0.16,111115,"0100_20200721",2020-07-21 12:53:09,"12:53:10 ; ","D04W","SW","o","pist",100,"sap",2,"n",2020,1.48,4.04
2,"12:57:17",272.5,0,0.814,0.0104,266,0.16,1.48,26.94,6,1.42,1,2.84,25.92,26.94,25.04,400.91,399.86,20.827,21.015,61.41,61.96,500.1,1999,1354,99.04,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,1,-0.22,2.74,1,0,0.16,111115,"0100_20200721",2020-07-21 12:53:09,"12:53:10 ; ","D04W","SW","o","pist",100,"sap",2,"n",2020,1.48,4.04
3,"12:57:17",273,0,0.834,0.0104,262,0.159,1.48,26.94,6,1.42,1,2.84,25.92,26.94,25.04,400.93,399.85,20.828,21.015,61.41,61.96,500.2,1999,1561,99.04,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,1,-0.22,2.74,1,0,0.16,111115,"0100_20200721",2020-07-21 12:53:09,"12:53:10 ; ","D04W","SW","o","pist",100,"sap",2,"n",2020,1.48,4.04
4,"12:57:18",274,0,0.884,0.0104,256,0.16,1.48,26.94,6,1.42,1,2.84,25.92,26.94,25.04,401.01,399.88,20.828,21.016,61.41,61.97,500.1,1999,1888,99.04,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,1,-0.22,2.74,1,0,0.16,111115,"0100_20200721",2020-07-21 12:53:09,"12:53:10 ; ","D04W","SW","o","pist",100,"sap",2,"n",2020,1.48,4.04
5,"12:57:19",274.5,0,0.954,0.0105,246,0.161,1.48,26.94,6,1.42,1,2.84,25.92,26.94,25.04,401.11,399.89,20.828,21.017,61.41,61.97,500.1,1999,1890,99.04,-4.02,0.624,0.0591,0.00343,0.0522,0.00431,1,-0.22,2.74,1,0,0.16,111115,"0100_20200721",2020-07-21 12:53:09,"12:53:10 ; ","D04W","SW","o","pist",100,"sap",2,"n",2020,1.48,4.04
1,"13:09:41",236.5,0,1.1,0.0126,251,0.193,1.48,27.3,6,1.42,1,2.84,25.93,27.3,25.03,400.85,399.44,21.609,21.836,63.67,64.34,500.1,2001,1637,99.03,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0101_20200721",2020-07-21 13:06:10,"13:06:11 ; ","D04W","SW","i","pist",101,"sap",4,"n",2020,1.07,5.62
2,"13:09:42",237.5,0,1.15,0.0125,243,0.191,1.48,27.3,6,1.42,1,2.84,25.93,27.3,25.03,400.87,399.4,21.61,21.835,63.67,64.34,500.1,2001,1647,99.03,-4.78,0.653,0.0723,0.00236,0.106,0.00258,1,-0.22,2.74,1,0,0.16,111115,"0101_20200721",2020-07-21 13:06:10,"13:06:11 ; ","D04W","SW","i","pist",101,"sap",4,"n",2020,1.07,5.62
3,"13:09:42",238,0,1.18,0.0126,241,0.193,1.48,27.3,6,1.42,1,2.84,25.93,27.3,25.03,400.9,399.39,21.608,21.834,63.67,64.33,500.1,2001,1652,99.03,-4.78,0.653,0.0723,0.00236,0.106,0.00258,0.7,-0.22,2.74,1,0,0.16,111115,"0101_20200721",2020-07-21 13:06:10,"13:06:11 ; ","D04W","SW","i","pist",101,"sap",4,"n",2020,1.07,5.62
4,"13:09:43",239,0,1.31,0.0126,224,0.193,1.48,27.31,6,1.42,1,2.84,25.93,27.31,25.03,401.04,399.37,21.607,21.834,63.67,64.33,500.1,2001,1664,99.03,-4.78,0.653,0.0723,0.00236,0.106,0.00258,0.7,-0.22,2.74,1,0,0.16,111115,"0101_20200721",2020-07-21 13:06:10,"13:06:11 ; ","D04W","SW","i","pist",101,"sap",4,"n",2020,1.07,5.62
5,"13:09:44",239.5,0,1.36,0.0126,218,0.193,1.48,27.31,6,1.42,1,2.84,25.93,27.31,25.04,401.09,399.36,21.607,21.834,63.67,64.33,500.1,2001,1670,99.03,-4.78,0.653,0.0723,0.00236,0.106,0.00258,0.7,-0.22,2.74,1,0,0.16,111115,"0101_20200721",2020-07-21 13:06:10,"13:06:11 ; ","D04W","SW","i","pist",101,"sap",4,"n",2020,1.07,5.62
1,"10:43:10",212,0,5.71,0.0738,265,1.09,1.47,25.06,6,1.42,1,2.84,24.95,25.06,25.06,407.43,400.06,16.128,17.414,50.39,54.41,500.4,1999,65,99.07,-0.409,0.539,0.302,0.000531,0.332,0.00298,0.7,-0.22,2.74,1,0,0.16,111115,"0149_20200721",2020-07-21 10:40:08,"10:40:09 ; ","D04E","NE","o","acru",149,NA,NA,"n",2020,6,1
2,"10:43:11",213,0,5.7,0.0737,266,1.09,1.47,25.06,6,1.42,1,2.84,24.96,25.06,25.06,407.4,400.04,16.128,17.413,50.39,54.4,500.4,1999,58,99.07,-0.409,0.539,0.302,0.000531,0.332,0.00298,0.7,-0.22,2.74,1,0,0.16,111115,"0149_20200721",2020-07-21 10:40:08,"10:40:09 ; ","D04E","NE","o","acru",149,NA,NA,"n",2020,6,1
3,"10:43:12",214,0,5.7,0.0738,266,1.09,1.46,25.05,6,1.42,1,2.84,24.96,25.05,25.06,407.41,400.05,16.128,17.413,50.38,54.4,500.4,1999,54,99.07,-0.409,0.539,0.302,0.000531,0.332,0.00298,1,-0.22,2.74,1,0,0.16,111115,"0149_20200721",2020-07-21 10:40:08,"10:40:09 ; ","D04E","NE","o","acru",149,NA,NA,"n",2020,6,1
4,"10:43:12",214.5,0,5.68,0.0736,266,1.09,1.46,25.05,6,1.42,1,2.84,24.96,25.05,25.06,407.38,400.06,16.129,17.411,50.39,54.39,500.4,1999,54,99.07,-0.409,0.539,0.302,0.000531,0.332,0.00298,1,-0.22,2.74,1,0,0.16,111115,"0149_20200721",2020-07-21 10:40:08,"10:40:09 ; ","D04E","NE","o","acru",149,NA,NA,"n",2020,6,1
5,"10:43:13",215.5,0,5.71,0.0736,265,1.09,1.46,25.04,6,1.42,1,2.84,24.96,25.04,25.06,407.39,400.03,16.131,17.41,50.39,54.39,500.5,1998,56,99.07,-0.409,0.539,0.302,0.000531,0.332,0.00298,1,-0.22,2.74,1,0,0.16,111115,"0149_20200721",2020-07-21 10:40:08,"10:40:09 ; ","D04E","NE","o","acru",149,NA,NA,"n",2020,6,1
1,"10:54:24",186.5,0,11.8,0.178,282,2.06,1.19,24.5,6,1.42,1,2.84,24.97,24.5,25.05,415.34,400.17,16.757,19.176,52.3,59.85,500.3,2000,62,99.07,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0154_20200721",2020-07-21 10:51:52,"10:51:54 ; ","D04E","NE","o","quru",154,"un",10,"n",2020,6,1
2,"10:54:25",187.5,0,11.8,0.178,281,2.05,1.19,24.5,6,1.42,1,2.84,24.97,24.5,25.06,415.32,400.14,16.76,19.176,52.31,59.85,500.3,2000,62,99.07,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0154_20200721",2020-07-21 10:51:52,"10:51:54 ; ","D04E","NE","o","quru",154,"un",10,"n",2020,6,1
3,"10:54:26",188.5,0,11.8,0.177,281,2.05,1.19,24.51,6,1.42,1,2.84,24.97,24.51,25.06,415.32,400.14,16.76,19.174,52.31,59.85,500.3,2000,62,99.07,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0154_20200721",2020-07-21 10:51:52,"10:51:54 ; ","D04E","NE","o","quru",154,"un",10,"n",2020,6,1
4,"10:54:27",189.5,0,11.9,0.177,280,2.05,1.19,24.51,6,1.42,1,2.84,24.97,24.51,25.06,415.37,400.12,16.762,19.172,52.32,59.84,500.3,2000,63,99.07,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0154_20200721",2020-07-21 10:51:52,"10:51:54 ; ","D04E","NE","o","quru",154,"un",10,"n",2020,6,1
5,"10:54:28",190,0,11.9,0.177,280,2.05,1.19,24.51,6,1.42,1,2.84,24.97,24.51,25.06,415.39,400.12,16.761,19.172,52.32,59.84,500.3,2000,63,99.07,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0154_20200721",2020-07-21 10:51:52,"10:51:54 ; ","D04E","NE","o","quru",154,"un",10,"n",2020,6,1
1,"09:55:09",226,0,1.27,0.0198,289,0.283,1.39,23.46,6,1.42,1,2.84,24.7,23.46,25.06,401.58,399.92,14.87,15.204,47.17,48.23,500.4,2000,495,99.1,-1.27,0.539,0.0499,0.00325,0.0834,0.00224,0.7,-0.22,2.74,1,0,0.16,111115,"0160_20200721",2020-07-21 09:51:55,"09:51:57 ; ","D04E","NE","i","pist",160,"sap",2,"n",2020,1.23,4.89
2,"09:55:10",227,0,1.08,0.0195,303,0.279,1.39,23.46,6,1.42,1,2.84,24.7,23.46,25.06,401.37,399.95,14.875,15.204,47.18,48.23,500.5,2000,422,99.1,-1.27,0.539,0.0499,0.00325,0.0834,0.00224,1,-0.22,2.74,1,0,0.16,111115,"0160_20200721",2020-07-21 09:51:55,"09:51:57 ; ","D04E","NE","i","pist",160,"sap",2,"n",2020,1.23,4.89
3,"09:55:11",227.5,0,1.02,0.0196,308,0.28,1.39,23.46,6,1.42,1,2.84,24.7,23.46,25.06,401.3,399.94,14.874,15.205,47.18,48.23,500.5,2000,400,99.1,-1.27,0.539,0.0499,0.00325,0.0834,0.00224,1,-0.22,2.74,1,0,0.16,111115,"0160_20200721",2020-07-21 09:51:55,"09:51:57 ; ","D04E","NE","i","pist",160,"sap",2,"n",2020,1.23,4.89
4,"09:55:12",228.5,0,1.02,0.0195,308,0.279,1.39,23.46,6,1.42,1,2.84,24.7,23.46,25.06,401.24,399.89,14.876,15.205,47.19,48.23,500.5,2000,381,99.1,-1.27,0.539,0.0499,0.00325,0.0834,0.00224,1,-0.22,2.74,1,0,0.16,111115,"0160_20200721",2020-07-21 09:51:55,"09:51:57 ; ","D04E","NE","i","pist",160,"sap",2,"n",2020,1.23,4.89
5,"09:55:12",229,0,0.989,0.0196,310,0.279,1.39,23.46,6,1.42,1,2.84,24.7,23.46,25.06,401.18,399.86,14.876,15.206,47.19,48.24,500.5,2000,379,99.1,-1.27,0.539,0.0499,0.00325,0.0834,0.00224,1,-0.22,2.74,1,0,0.16,111115,"0160_20200721",2020-07-21 09:51:55,"09:51:57 ; ","D04E","NE","i","pist",160,"sap",2,"n",2020,1.23,4.89
1,"09:47:51",261.5,0,1.51,0.0199,270,0.283,1.39,23.39,6,1.42,1,2.84,24.64,23.39,25.07,402.09,400.15,14.795,15.129,47.12,48.18,500.3,1999,227,99.09,-1.02,0.52,0.146,0.00202,0.131,0.00104,0.7,-0.22,2.74,1,0,0.16,111115,"0161_20200721",2020-07-21 09:44:03,"09:44:04 ; ","D04E","NE","i","pist",161,"sap",6,"n",2020,1.23,4.87
2,"09:47:52",263,0,1.46,0.0199,274,0.283,1.39,23.39,6,1.42,1,2.84,24.64,23.39,25.07,402.08,400.19,14.795,15.13,47.11,48.18,500.3,1998,210,99.09,-1.02,0.52,0.146,0.00202,0.131,0.00104,0.7,-0.22,2.74,1,0,0.16,111115,"0161_20200721",2020-07-21 09:44:03,"09:44:04 ; ","D04E","NE","i","pist",161,"sap",6,"n",2020,1.23,4.87
3,"09:47:53",264,0,1.44,0.0201,277,0.286,1.39,23.39,6,1.42,1,2.84,24.64,23.39,25.07,402.04,400.18,14.792,15.13,47.1,48.18,500.4,1999,204,99.09,-1.02,0.52,0.146,0.00202,0.131,0.00104,0.7,-0.22,2.74,1,0,0.16,111115,"0161_20200721",2020-07-21 09:44:03,"09:44:04 ; ","D04E","NE","i","pist",161,"sap",6,"n",2020,1.23,4.87
4,"09:47:54",264.5,0,1.42,0.0201,279,0.286,1.39,23.39,6,1.42,1,2.84,24.64,23.39,25.07,402.03,400.2,14.791,15.129,47.1,48.18,500.4,1999,203,99.09,-1.02,0.52,0.146,0.00202,0.131,0.00104,0.7,-0.22,2.74,1,0,0.16,111115,"0161_20200721",2020-07-21 09:44:03,"09:44:04 ; ","D04E","NE","i","pist",161,"sap",6,"n",2020,1.23,4.87
5,"09:47:55",265.5,0,1.4,0.02,279,0.284,1.39,23.38,6,1.42,1,2.84,24.64,23.38,25.07,402.01,400.19,14.793,15.128,47.1,48.17,500.5,1999,201,99.09,-1.02,0.52,0.146,0.00202,0.131,0.00104,1,-0.22,2.74,1,0,0.16,111115,"0161_20200721",2020-07-21 09:44:03,"09:44:04 ; ","D04E","NE","i","pist",161,"sap",6,"n",2020,1.23,4.87
1,"11:07:41",230,0,1.46,0.0225,287,0.327,1.42,24.86,6,1.42,1,2.84,25.15,24.86,25.06,401.99,400.08,17.128,17.514,52.91,54.1,500.4,2000,275,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0174_20200721",2020-07-21 11:06:06,"11:06:07 ; ","D04E","SE","i","pist",174,"os",11,"n",2020,1.18,5.08
2,"11:07:42",230.5,0,1.43,0.0225,290,0.328,1.42,24.86,6,1.42,1,2.84,25.15,24.86,25.06,401.93,400.06,17.129,17.515,52.91,54.1,500.4,2000,274,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0174_20200721",2020-07-21 11:06:06,"11:06:07 ; ","D04E","SE","i","pist",174,"os",11,"n",2020,1.18,5.08
3,"11:07:43",231.5,0,1.32,0.0226,297,0.328,1.42,24.85,6,1.42,1,2.84,25.15,24.85,25.06,401.8,400.05,17.131,17.517,52.91,54.11,500.4,2000,274,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0174_20200721",2020-07-21 11:06:06,"11:06:07 ; ","D04E","SE","i","pist",174,"os",11,"n",2020,1.18,5.08
4,"11:07:44",232,0,1.33,0.0226,297,0.328,1.42,24.85,6,1.42,1,2.84,25.15,24.85,25.06,401.79,400.04,17.13,17.517,52.91,54.11,500.4,2000,273,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0174_20200721",2020-07-21 11:06:06,"11:06:07 ; ","D04E","SE","i","pist",174,"os",11,"n",2020,1.18,5.08
5,"11:07:44",233,0,1.35,0.0226,295,0.328,1.42,24.85,6,1.42,1,2.84,25.15,24.85,25.06,401.79,400.02,17.129,17.516,52.91,54.1,500.3,2000,273,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0174_20200721",2020-07-21 11:06:06,"11:06:07 ; ","D04E","SE","i","pist",174,"os",11,"n",2020,1.18,5.08
1,"11:01:45",259.5,0,1.67,0.0193,253,0.268,1.35,24.28,6,1.42,1,2.84,25.01,24.28,25.06,402.14,400.01,16.753,17.069,52.19,53.18,500.4,1999,13,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0175_20200721",2020-07-21 10:57:54,"10:57:55 ; ","D04E","SE","o","pist",175,"os",11,"n",2020,0.94,6.38
2,"11:01:45",260,0,1.68,0.0194,254,0.269,1.35,24.28,6,1.42,1,2.84,25.01,24.28,25.06,402.17,400.03,16.752,17.07,52.19,53.18,500.3,2000,13,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0175_20200721",2020-07-21 10:57:54,"10:57:55 ; ","D04E","SE","o","pist",175,"os",11,"n",2020,0.94,6.38
3,"11:01:46",261,0,1.6,0.0195,260,0.271,1.35,24.28,6,1.42,1,2.84,25.01,24.28,25.06,402.13,400.07,16.751,17.071,52.19,53.18,500.4,2000,10,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0175_20200721",2020-07-21 10:57:54,"10:57:55 ; ","D04E","SE","o","pist",175,"os",11,"n",2020,0.94,6.38
4,"11:01:47",261.5,0,1.55,0.0195,265,0.271,1.35,24.28,6,1.42,1,2.84,25.01,24.28,25.06,402.09,400.1,16.752,17.071,52.19,53.18,500.4,2000,7,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0175_20200721",2020-07-21 10:57:54,"10:57:55 ; ","D04E","SE","o","pist",175,"os",11,"n",2020,0.94,6.38
5,"11:01:47",262,0,1.56,0.0194,264,0.27,1.35,24.28,6,1.42,1,2.84,25.01,24.28,25.06,402.12,400.12,16.753,17.071,52.19,53.18,500.3,2000,6,99.09,-2.13,0.565,0.0241,0.00119,0.0399,0.00155,1,-0.22,2.74,1,0,0.16,111115,"0175_20200721",2020-07-21 10:57:54,"10:57:55 ; ","D04E","SE","o","pist",175,"os",11,"n",2020,0.94,6.38
1,"11:39:04",362,0,1.2,0.0139,256,0.175,1.22,25.7,6,1.42,1,2.84,25.41,25.7,25.04,401.92,400.4,20.939,21.145,63.67,64.29,500.3,1999,100,99.08,-3.12,0.593,0.0394,0.00297,0.0627,0.00307,0.7,-0.22,2.74,1,0,0.16,111115,"0196_20200721",2020-07-21 11:33:35,"11:33:36 ; ","D04E","NW","o","pist",196,"os",16,"n",2020,1.2,4.99
2,"11:39:05",362.5,0,1.2,0.0138,254,0.174,1.22,25.69,6,1.42,1,2.84,25.41,25.69,25.04,401.89,400.37,20.938,21.142,63.66,64.28,500.2,1999,99,99.08,-3.12,0.593,0.0394,0.00297,0.0627,0.00307,0.7,-0.22,2.74,1,0,0.16,111115,"0196_20200721",2020-07-21 11:33:35,"11:33:36 ; ","D04E","NW","o","pist",196,"os",16,"n",2020,1.2,4.99
