date,plot_id,subplot_id,tag_number,leaf_area_cm2,leaf_mass_g,LMA_gm-2,IRGA_covered_area,Asat_multiplier,initials,comments,,
7/11/2021,D02,D02E,325,0.87,0.0118,135.6321839,0.87,6.896551724,AIM,,,
7/12/2021,D03,D03E,390,79.6,0.2648,33.26633166,6,1,LTH,,, 
7/12/2021,D03,D03W,513,36.84,0.2021,54.85884908,6,1,LTH,,,
7/12/2021,D03,D03W,517,0.734,0.0169,230.2452316,0.734,8.174386921,AIM,,,
7/12/2021,D03,D03W,526,82.26,0.3067,37.28422076,6,1,LTH,,,
7/12/2021,D03,D03W,527,45.29,0.1641,36.23316405,6,1,LTH,,,
7/12/2021,D03,D03W,538,71.63,0.2901,40.49979059,6,1,LTH,,,
7/9/2021,D01,D01W,591,0.382,0.0049,128.2722513,0.382,15.70680628,LTH,,,
7/9/2021,D01,D01W,625,0.785,0.0091,115.9235669,0.785,7.643312102,LTH,,,
7/9/2021,D01,D01W,637,70.81,0.3408,48.12879537,6,1,LTH,,,
7/11/2021,D01,D01E,647,75.34,0.3541,47.00026546,6,1,AIM,,,
7/11/2021,D01,D01E,649,37.25,0.1362,36.56375839,6,1,AIM,,,
7/11/2021,D01,D01E,667,55.75,0.1809,32.44843049,6,1,AIM,,,
7/11/2021,D01,D01E,668,26.35,0.0663,25.16129032,6,1,AIM,,,
7/11/2021,D01,D01E,689,0.646,0.035,541.7956656,0.646,9.287925697,AIM,,,
7/11/2021,D01,D01E,690,36.15,0.1693,46.83264177,6,1,AIM,,,
7/11/2021,D01,D01E,697,68.76,0.3765,54.7556719,6,1,AIM,,,
7/11/2021,D01,D01E,704,70.54,0.3604,51.09157925,6,1,AIM,,,
7/12/2021,C01,C01E,736,1.083,0.0121,111.7266851,1.083,5.540166205,AIM,,,
7/14/2021,C01,C01E,737,1.017,0.0142,139.626352,1.017,5.899705015,AIM,,,
7/12/2021,C01,C01E,775,55.52,0.1472,26.5129683,6,1,LTH,,,
7/12/2021,C01,C01E,805,67.54,0.2005,29.68611193,6,1,LTH,,,
7/12/2021,C01,C01E,806,37.92,0.0971,25.60654008,6,1,LTH,,,
7/14/2021,C01,C01W,879,53.1,0.2178,41.01694915,6,1,AIM,,,
7/16/2021,C02,C02W,931,70.61,0.2861,40.51834018,6,1,AIM,,,
7/16/2021,C02,C02W,934,114.05,0.4118,36.10697063,6,1,AIM,,,
7/16/2021,C02,C02W,966,93.87,0.2438,25.97208906,6,1,AIM,,,
7/16/2021,C02,C02E,1101,1.18,0.0072,61.01694915,1.18,5.084745763,AIM,,,
7/16/2021,C02,C02E,1102,0.759,0.0089,117.259552,0.759,7.90513834,AIM,,,
7/16/2021,C03,C03W,1198,83.02,0.2052,24.71693568,6,1,AIM,,,
7/16/2021,C03,C03E,1272,167.72,0.6123,36.50727403,6,1,AIM,,,
7/16/2021,C03,C03E,1273,104.42,0.4431,42.43439954,6,1,AIM,,,
7/16/2021,C03,C03E,1274,136.44,0.4706,34.49135151,6,1,AIM,,,
7/14/2021,C04,C04W,1451,84.42,0.3286,38.92442549,6,1,AIM,,,
7/14/2021,C04,C04E,1515,0.891,0.0138,154.8821549,0.891,6.734006734,AIM,,,
7/22/2021,B01,B01W,1592,48.47,0.1769,36.49680215,6,1,AIM,,,
7/22/2021,B01,B01W,1594,56.44,0.2114,37.45570517,6,1,AIM,,,
7/22/2021,B01,B01W,1595,59.29,0.1397,23.56215213,6,1,AIM,,,
7/22/2021,B01,B01W,1627,31.74,0.0643,20.25834909,6,1,AIM,,,
7/22/2021,B01,B01W,1628,59.67,0.1534,25.708061,6,1,AIM,,,
7/22/2021,B01,B01W,1631,26.66,0.0651,24.41860465,6,1,AIM,,,
7/22/2021,B01,B01W,1647,42.88,0.0924,21.54850746,6,1,AIM,,,
7/22/2021,B01,B01W,1649,72.5,0.1789,24.67586207,6,1,AIM,,,
7/22/2021,B01,B01E,1663,45.24,0.1036,22.90008842,6,1,AIM,,,
7/22/2021,B01,B01E,1741,52.44,0.1393,26.56369184,6,1,LTH,"this leaf was dried before scanning, so area is the dried leaf area",,
7/22/2021,B01,B01E,1742,248.98,0.7096,28.50028115,6,1,AIM,,,
7/23/2021,B02,B02W,1780,230.21,0.7876,34.212241,6,1,AIM,,,
7/23/2021,B02,B02E,1884,26.01,0.0651,25.02883506,6,1,AIM,,,
7/23/2021,B02,B02E,1949,49.86,0.1362,27.31648616,6,1,AIM,,,
7/22/2021,B03,B03W,1968,42.38,0.1126,26.56913639,6,1,AIM,,,
7/22/2021,B03,B03W,2003,47.2,0.1417,30.02118644,6,1,AIM,,,
7/22/2021,B03,B03W,2060,58.93,0.1511,25.64059053,6,1,AIM,,,
7/22/2021,B03,B03W,2061,87.33,0.3097,35.46318562,6,1,AIM,,,
7/22/2021,B03,B03W,2062,49.97,0.2456,49.14948969,6,1,AIM,,,
7/22/2021,B03,B03E,2130,57.01,0.2291,40.18593229,6,1,AIM,,,
7/23/2021,B04,B04W,2206,42.14,0.0999,23.70669198,6,1,AIM,,,
7/23/2021,B04,B04W,2226,167.12,0.5019,30.03231211,6,1,AIM,,,
7/23/2021,B04,B04W,2227,88.05,0.2537,28.81317433,6,1,AIM,,,
7/23/2021,B04,B04W,2228,127.37,0.4397,34.52147287,6,1,AIM,,,
7/23/2021,B04,B04E,2262,73.48,0.2232,30.37561241,6,1,AIM,,,
7/23/2021,B04,B04E,2263,51.1,0.1431,28.00391389,6,1,AIM,,,
7/23/2021,B04,B04E,2311,40.57,0.1401,34.53290609,6,1,AIM,,,
7/23/2021,B04,B04E,2312,50.98,0.1723,33.79756767,6,1,AIM,,,
7/23/2021,B04,B04E,2334,66.15,0.1504,22.73620559,6,1,AIM,,,
7/20/2021,A03,A03W,2362,35.99,0.0762,21.17254793,6,1,LTH,,,
7/20/2021,A03,A03W,2388,135.12,0.3294,24.37833037,6,1,LTH,,,
7/20/2021,A03,A03E,2552,36.84,0.0864,23.45276873,6,1,LTH,,,
7/20/2021,A03,A03E,2553,45.79,0.1291,28.19392881,6,1,LTH,,,
7/20/2021,A03,A03E,2554,27.08,0.0778,28.72968981,6,1,LTH,,,
7/19/2021,A04,A04W,2593,86.03,0.1745,20.28362199,6,1,LTH,,,
7/19/2021,A04,A04W,2643,55.55,0.1408,25.34653465,6,1,LTH,,,
7/19/2021,A04,A04W,2647,32.15,0.0665,20.68429238,6,1,LTH,,,
7/19/2021,A04,A04W,2668,35.28,0.0763,21.62698413,6,1,LTH,,,
7/19/2021,A04,A04E,2708,42.87,0.0945,22.04338698,6,1,LTH,,,
7/19/2021,A04,A04E,2709,47.1,0.1071,22.7388535,6,1,LTH,,,
7/19/2021,A04,A04E,2718,59.82,0.1126,18.82313607,6,1,LTH,,,
7/19/2021,A04,A04E,2733,75.06,0.1487,19.81081801,6,1,LTH,,,
7/19/2021,A04,A04E,2760,23.43,0.0576,24.58386684,6,1,LTH,,,
7/20/2021,A01,A01E,2784,133.75,0.3071,22.96074766,6,1,AIM,,,
7/20/2021,A01,A01E,2835,266.68,0.6413,24.04754762,6,1,AIM,,,
7/20/2021,A01,A01E,2836,331.29,0.9386,28.33167316,6,1,AIM,,,
7/20/2021,A01,A01E,2838,200.87,0.4931,24.54821526,6,1,AIM,,,
7/20/2021,A01,A01W,2880,40.52,0.1029,25.39486673,6,1,AIM,,,
7/20/2021,A01,A01W,2881,48.94,0.1087,22.21087045,6,1,AIM,,,
7/20/2021,A01,A01W,2883,74.31,0.1728,23.25393621,6,1,AIM,,,
7/20/2021,A01,A01W,2906,42.45,0.0972,22.8975265,6,1,AIM,,,
7/20/2021,A01,A01W,2934,35.8,0.0994,27.76536313,6,1,LTH,,,
7/19/2021,A02,A02W,3000,178.16,0.4835,27.13852717,6,1,LTH,,,
7/19/2021,A02,A02W,3001,118.42,0.3231,27.28424253,6,1,LTH,,,
7/19/2021,A02,A02E,3089,31.47,0.514,163.3301557,6,1,LTH,,,
7/19/2021,A02,A02E,3090,34.9,0.0572,16.38968481,6,1,LTH,,,
7/19/2021,A02,A02E,3092,70.37,0.1249,17.74904078,6,1,LTH,,,
7/19/2021,A02,A02E,3165,92.77,0.1621,17.47332112,6,1,LTH,,,
7/16/2021,C03,C03W,3167,33.21,0.092,27.70249925,6,1,AIM,,,
7/16/2021,C03,C03W,3168,381.82,1.4352,37.58839244,6,1,AIM,,,
7/16/2021,C03,C03W,3169,66.68,0.1722,25.82483503,6,1,AIM,,,
7/16/2021,C03,C03W,3171,74.38,0.2998,40.30653401,6,1,AIM,,,
7/16/2021,C03,C03W,3172,90.84,0.3673,40.43372963,6,1,AIM,,,
7/16/2021,C03,C03W,3173,268.82,1.0807,40.2016219,6,1,AIM,,,
7/16/2021,C03,C03W,3174,28.96,0.0758,26.17403315,6,1,AIM,,,
7/16/2021,C03,C03W,3175,159.88,0.3659,22.88591444,6,1,AIM,,,
7/16/2021,C03,C03W,3176,43.72,0.1724,39.43275389,6,1,AIM,,,
7/16/2021,C03,C03E,3179,51.09,0.2712,53.08279507,6,1,AIM,,,
7/16/2021,C03,C03E,3181,95.25,0.331,34.75065617,6,1,AIM,,,
7/16/2021,C03,C03E,3182,37.11,0.2324,62.62462948,6,1,AIM,,,
7/16/2021,C03,C03E,3183,49.21,0.1785,36.27311522,6,1,AIM,,,
7/16/2021,C03,C03E,3184,77.14,0.208,26.96396163,6,1,AIM,,,
7/16/2021,C03,C03E,3185,107.77,0.4071,37.77489097,6,1,AIM,,,
7/16/2021,C03,C03E,3186,83.79,0.2084,24.87170307,6,1,AIM,,,
7/12/2021,D03,D03W,3187,57.61,0.2546,44.19371637,6,1,LTH,,,
7/12/2021,D03,D03W,3188,42.93,0.2014,46.91358025,6,1,LTH,slight herbivory,,
7/12/2021,D03,D03W,3190,46.56,0.1243,26.6967354,6,1,LTH,,,
7/12/2021,D03,D03W,3192,32.15,0.1497,46.562986,6,1,LTH,,,
7/12/2021,D03,D03W,3193,73.47,0.4126,56.15897645,6,1,LTH,,,
7/12/2021,D03,D03W,3196,33.13,0.1687,50.92061576,6,1,LTH,,,
7/12/2021,D03,D03W,3197,53.2,0.2917,54.83082707,6,1,LTH,,,
7/12/2021,D03,D03W,3198,77.8,0.3178,40.84832905,6,1,LTH,,,
7/12/2021,D03,D03E,3201,79.17,0.3065,38.7141594,6,1,LTH,,,
7/12/2021,D03,D03E,3202,63.17,0.2858,45.24299509,6,1,LTH,,,
7/12/2021,D03,D03E,3205,38.23,0.2281,59.66518441,6,1,LTH,,,
7/12/2021,D03,D03E,3206,69.93,0.3968,56.74245674,6,1,LTH,,,
7/12/2021,D03,D03E,3208,68.9,0.2313,33.57039187,6,1,LTH,,,
7/12/2021,D03,D03E,3209,58.69,0.2367,40.33055035,6,1,LTH,,,
7/12/2021,D03,D03E,3210,40.57,0.1472,36.28296771,6,1,LTH,,,
7/11/2021,D01,D01E,3213,41.72,0.105,25.16778523,6,1,AIM,,,
7/11/2021,D01,D01E,3214,74.16,0.399,53.802589,6,1,AIM,,,
7/11/2021,D01,D01E,3218,0.648,0.0104,160.4938272,0.648,9.259259259,AIM,,,
7/9/2021,D01,D01W,3220,26.49,0.1028,38.80709702,6,1,LTH,,,
7/9/2021,D01,D01W,3221,0.819,0.0153,186.8131868,0.819,7.326007326,LTH,,,
7/9/2021,D01,D01W,3224,1.091,0.0102,93.49220898,1.091,5.499541705,LTH,,,
7/9/2021,D01,D01W,3225,0.948,0.0115,121.3080169,0.948,6.329113924,LTH,,,
7/9/2021,D01,D01W,3226,0.265,0.0078,294.3396226,0.265,22.64150943,LTH,,,
7/9/2021,D01,D01W,3227,0.854,0.0105,122.9508197,0.854,7.025761124,LTH,,,
7/9/2021,D01,D01W,3229,0.502,0.0071,141.4342629,0.502,11.95219124,LTH,,,
7/9/2021,D01,D01W,3230,0.679,0.0135,198.8217968,0.679,8.8365243,LTH,,,
7/11/2021,D02,D02W,3231,35.72,0.2112,59.12653975,6,1,AIM,,,
7/11/2021,D02,D02W,3232,36.07,0.1063,29.47047408,6,1,AIM,,,
7/11/2021,D02,D02W,3233,20.03,0.0518,25.86120819,6,1,AIM,,,
7/11/2021,D02,D02W,3236,34.81,0.1271,36.51249641,6,1,AIM,,,
7/11/2021,D02,D02W,3237,30.09,0.1206,40.07976072,6,1,AIM,,,
7/11/2021,D02,D02W,3239,51.95,0.2199,42.32916266,6,1,AIM,,,
7/11/2021,D02,D02W,3240,66.03,0.3661,55.44449493,6,1,AIM,,,
7/11/2021,D02,D02W,3242,1.357,0.013,95.79955785,1.357,4.421518055,LTH,,,
7/11/2021,D02,D02W,3243,1,0.0114,114,1,6,AIM,weight is for 4 needles recovered after drying (but area is for 5 needles),,
7/19/2021,A02,A02E,3246,56.44,0.1178,20.87172218,6,1,LTH,,,
7/19/2021,A02,A02E,3247,52.95,0.1026,19.37677054,6,1,LTH,,,
7/19/2021,A02,A02E,3248,62.64,0.1435,22.90868455,6,1,LTH,,,
7/19/2021,A02,A02E,3249,88.91,0.1712,19.25542684,6,1,LTH,,,
7/19/2021,A02,A02E,3250,41.54,0.0817,19.66779008,6,1,LTH,,,
7/19/2021,A02,A02E,3252,63.51,0.1219,19.19382774,6,1,LTH,,,
7/19/2021,A02,A02E,3253,148.58,0.3562,23.97361691,6,1,LTH,,,
7/19/2021,A02,A02E,3254,25.86,0.0498,19.2575406,6,1,LTH,,,
7/22/2021,B03,B03E,3257,30.96,0.0883,28.52067183,6,1,AIM,,,
7/22/2021,B03,B03E,3258,59.73,0.1976,33.08220325,6,1,AIM,,,
7/22/2021,B03,B03E,3259,45.34,0.1492,32.90692545,6,1,AIM,,,
7/22/2021,B03,B03E,3261,48.09,0.1845,38.36556457,6,1,AIM,,,
7/22/2021,B03,B03E,3262,34.85,0.0923,26.48493544,6,1,AIM,,,
7/22/2021,B03,B03E,3263,47.28,0.1409,29.80118443,6,1,AIM,,,
7/22/2021,B03,B03E,3265,40.57,0.1281,31.57505546,6,1,AIM,,,
7/22/2021,B03,B03E,3266,46.82,0.1253,26.76206749,6,1,AIM,,,
7/22/2021,B03,B03E,3267,67.78,0.1728,25.49424609,6,1,AIM,,,
7/22/2021,B03,B03E,3270,76.54,0.0916,11.96759864,6,1,AIM,,,
7/22/2021,B03,B03E,3271,41.58,0.1154,27.75372775,6,1,AIM,,,
7/22/2021,B03,B03W,3272,58.66,0.1433,24.42891238,6,1,AIM,,,
7/22/2021,B03,B03W,3273,43.17,0.1279,29.62705583,6,1,AIM,,,
7/22/2021,B03,B03W,3276,45.7,0.1055,23.08533917,6,1,AIM,,,
7/22/2021,B03,B03W,3277,37.74,0.0908,24.05935347,6,1,AIM,,,
7/22/2021,B03,B03W,3278,37.83,0.116,30.66349458,6,1,AIM,,,
7/22/2021,B03,B03W,3279,67.59,0.2298,33.99911229,6,1,AIM,,,
7/22/2021,B03,B03W,3280,41.85,0.1509,36.05734767,6,1,AIM,,,
7/11/2021,D02,D02E,3283,36.29,0.1719,47.36842105,6,1,AIM,,,
7/11/2021,D02,D02E,3284,56.11,0.3313,59.04473356,6,1,AIM,,,
7/11/2021,D02,D02E,3285,1.191,0.088,738.874895,1.191,5.037783375,AIM,weight is for 3.25 needles (not 5 that were scanned); some needle material lost in drying process,,
7/11/2021,D02,D02E,3295,1.295,0.0138,106.5637066,1.295,4.633204633,AIM,,,
7/9/2021,D04,D04W,3297,34.04,0.2537,74.52996475,6,1,LTH,,,
7/9/2021,D04,D04W,3298,0.793,0.0127,160.1513241,0.793,7.566204288,LTH,,,
7/9/2021,D04,D04W,3299,29.41,0.1784,60.65963958,6,1,LTH,,,
7/9/2021,D04,D04E,3301,67.38,0.3305,49.05016325,6,1,LTH,,,
7/9/2021,D04,D04E,3302,36.19,0.1682,46.47692733,6,1,LTH,,,
7/9/2021,D04,D04E,3305,1.123,0.0154,137.1326803,1.123,5.342831701,LTH,,,
7/9/2021,D04,D04E,3306,0.998,0.0119,119.238477,0.998,6.012024048,LTH,,,
7/9/2021,D04,D04E,3307,0.714,0.0135,189.0756303,0.714,8.403361345,LTH,,,
7/9/2021,D04,D04E,3309,0.746,0.0122,163.538874,0.746,8.042895442,LTH,,,
7/9/2021,D04,D04E,3310,1.05,0.0151,143.8095238,1.05,5.714285714,LTH,,,
7/14/2021,C04,C04W,3312,53.14,0.2348,44.18517125,6,1,AIM,,,
7/14/2021,C04,C04W,3313,45.38,0.1461,32.19479947,6,1,AIM,,,
7/14/2021,C04,C04W,3314,1.17,0.0179,152.991453,1.17,5.128205128,LTH,,,
7/14/2021,C04,C04W,3317,23.42,0.0858,36.6353544,6,1,AIM,,,
7/14/2021,C04,C04W,3318,41.73,0.1184,28.37287323,6,1,AIM,,,
7/14/2021,C04,C04W,3319,36.09,0.0955,26.46162372,6,1,AIM,,,
7/14/2021,C04,C04W,3322,67.08,0.3036,45.25939177,6,1,AIM,,,
7/14/2021,C04,C04W,3323,47.23,0.1432,30.31971205,6,1,AIM,,,
7/14/2021,C04,C04W,3326,28.43,0.1132,39.81709462,6,1,AIM,,,
7/14/2021,C04,C04W,3327,37.06,0.1495,40.33998921,6,1,AIM,,,
7/14/2021,C04,C04E,3329,45.85,0.1527,33.304253,6,1,AIM,,,
7/14/2021,C04,C04E,3330,61.35,0.1722,28.06845966,6,1,AIM,,,
7/14/2021,C04,C04E,3331,49.15,0.1682,34.22177009,6,1,AIM,,,
7/14/2021,C04,C04E,3333,40.64,0.1172,28.83858268,6,1,AIM,,,
7/14/2021,C04,C04E,3334,49.34,0.1735,35.164167,6,1,AIM,,,
7/14/2021,C04,C04E,3335,34.59,0.177,51.17085863,6,1,AIM,,,
7/14/2021,C04,C04E,3339,68.34,0.2763,40.43020193,6,1,AIM,,,
7/14/2021,C04,C04E,3340,71.6,0.2642,36.89944134,6,1,AIM,,,
7/14/2021,C04,C04E,3342,74.31,0.2581,34.73287579,6,1,AIM,,,
7/14/2021,C04,C04E,3343,24.48,0.0989,40.4003268,6,1,AIM,,,
7/14/2021,C04,C04E,3344,39.32,0.1606,40.84435402,6,1,AIM,,,
7/14/2021,C01,C01W,3942,22.48,0.0689,30.64946619,6,1,AIM,,,
7/14/2021,C01,C01W,3943,60.82,0.2062,33.90332128,6,1,AIM,,,
7/14/2021,C01,C01W,3944,64.5,0.2281,35.36434109,6,1,AIM,,,
7/14/2021,C01,C01W,3947,69.47,0.3019,43.4576076,6,1,AIM,,,
7/14/2021,C01,C01W,3948,28.47,0.0835,29.32911837,6,1,AIM,,,
7/14/2021,C01,C01W,3949,22.91,0.0769,33.56612833,6,1,AIM,,,
7/14/2021,C01,C01W,3950,11.93,0.0559,46.85666387,6,1,AIM,,,
7/14/2021,C01,C01W,3951,61.64,0.1832,29.72096042,6,1,AIM,,,
7/14/2021,C01,C01W,3953,38.56,0.1066,27.64522822,6,1,AIM,,,
7/14/2021,C01,C01W,3954,23.9,0.0581,24.30962343,6,1,AIM,,,
7/14/2021,C01,C01W,3955,24.23,0.1073,44.28394552,6,1,AIM,,,
7/12/2021,C01,C01E,3958,1.026,0.0171,166.6666667,1.026,5.847953216,AIM,,,
7/12/2021,C01,C01E,3959,36.31,0.1063,29.27568163,6,1,LTH,,,
7/14/2021,C01,C01E,3960,0.879,0.0105,119.4539249,0.879,6.825938567,AIM,,,
7/14/2021,C01,C01E,3961,1.062,0.0158,148.7758945,1.062,5.649717514,AIM,,,
7/12/2021,C01,C01E,3962,49.55,0.1102,22.24016145,6,1,LTH,,,
7/12/2021,C01,C01E,3963,51.2,0.1387,27.08984375,6,1,LTH,,,
7/12/2021,C01,C01E,3966,59.32,0.1841,31.03506406,6,1,LTH,,,
7/16/2021,C02,C02W,3968,179.91,0.5366,29.82602412,6,1,AIM,,,
7/16/2021,C02,C02W,3969,28.22,0.0732,25.93905032,6,1,AIM,,,
7/16/2021,C02,C02W,3970,1.15,0.0115,100,1.15,5.217391304,AIM,,,
7/16/2021,C02,C02W,3973,53.78,0.1644,30.56898475,6,1,AIM,,,
7/16/2021,C02,C02W,3974,77.55,0.2115,27.27272727,6,1,AIM,,,
7/16/2021,C02,C02W,3976,155.25,0.4986,32.11594203,6,1,AIM,,,
7/16/2021,C02,C02W,3977,10.01,0.0391,39.06093906,6,1,AIM,,,
7/16/2021,C02,C02W,3978,65.08,0.186,28.58020897,6,1,AIM,,,
7/16/2021,C02,C02W,3979,55.69,0.1994,35.80535105,6,1,AIM,,,
7/16/2021,C02,C02E,3980,168.47,0.5358,31.803882,6,1,AIM,,,
7/16/2021,C02,C02E,3981,0.747,0.0117,156.626506,0.747,8.032128514,AIM,,,
7/16/2021,C02,C02E,3982,1.441,0.0177,122.8313671,1.441,4.163775156,AIM,,,
7/16/2021,C02,C02E,3985,169.99,0.6357,37.39631743,6,1,AIM,,,
7/16/2021,C02,C02E,3986,117.31,0.3402,29.00008524,6,1,AIM,,,
7/16/2021,C02,C02E,3987,0.548,0.0096,175.1824818,0.548,10.94890511,AIM,,,
7/16/2021,C02,C02E,3988,77.06,0.2446,31.74150013,6,1,AIM,,,
7/16/2021,C02,C02E,3989,130.92,0.3979,30.39260617,6,1,AIM,,,
7/16/2021,C02,C02E,3990,102.73,0.3848,37.45741264,6,1,AIM,,,
7/16/2021,C02,C02E,3991,51.82,0.1699,32.78656889,6,1,AIM,,,
7/16/2021,C02,C02E,3992,165.26,0.4779,28.9180685,6,1,AIM,,,
7/16/2021,C02,C02E,3993,77.94,0.2613,33.52578907,6,1,AIM,,,
7/20/2021,A03,A03E,3995,81.66,0.2448,29.97795738,6,1,LTH,,,
7/20/2021,A03,A03E,3996,41.42,0.1057,25.51907291,6,1,LTH,,,
7/20/2021,A03,A03E,3997,70.57,0.1936,27.43375372,6,1,LTH,,,
7/20/2021,A03,A03E,3999,29.98,0.0909,30.32021348,6,1,LTH,,,
7/20/2021,A03,A03E,4000,54.46,0.1638,30.07712082,6,1,LTH,,,
7/20/2021,A03,A03E,4002,184.81,0.6201,33.55337915,6,1,LTH,,,
7/20/2021,A03,A03E,4003,36.72,0.0953,25.95315904,6,1,LTH,,,
7/20/2021,A03,A03E,4004,57.14,0.1596,27.93139657,6,1,LTH,,,
7/20/2021,A03,A03W,4006,159.45,0.4112,25.78864848,6,1,LTH,,,
7/20/2021,A03,A03W,4007,34.57,0.0772,22.3315013,6,1,LTH,,,
7/20/2021,A03,A03W,4009,85.07,0.2001,23.52180557,6,1,LTH,,,
7/20/2021,A03,A03W,4010,52.21,0.1259,24.11415438,6,1,LTH,,,
7/20/2021,A03,A03W,4011,61.9,0.1399,22.60096931,6,1,LTH,,,
7/20/2021,A03,A03W,4012,41.4,0.0974,23.52657005,6,1,LTH,,,
7/20/2021,A03,A03W,4013,51.51,0.128,24.84954378,6,1,LTH,,,
7/20/2021,A03,A03W,4015,47.85,0.1102,23.03030303,6,1,LTH,,,
7/20/2021,A03,A03W,4016,47.32,0.1026,21.68216399,6,1,LTH,,,
7/20/2021,A03,A03W,4017,28.19,0.0557,19.75877971,6,1,LTH,,,
7/20/2021,A01,A01E,4019,61.74,0.1385,22.43278264,6,1,AIM,,,
7/20/2021,A01,A01E,4020,174.6,0.4293,24.58762887,6,1,AIM,,,
7/20/2021,A01,A01E,4022,101.82,0.3332,32.72441564,6,1,AIM,,,
7/20/2021,A01,A01E,4023,41.03,0.1252,30.51425786,6,1,AIM,,,
7/20/2021,A01,A01E,4024,66.69,0.1822,27.32043785,6,1,AIM,,,
7/20/2021,A01,A01E,4026,28.3,0.0572,20.21201413,6,1,AIM,,,
7/20/2021,A01,A01E,4027,223.18,0.7077,31.70983063,6,1,AIM,,,
7/20/2021,A01,A01W,4030,75.08,0.2259,30.08790623,6,1,AIM,,,
7/20/2021,A01,A01W,4032,248.55,0.8732,35.13176423,6,1,LTH,,,
7/20/2021,A01,A01W,4033,119.37,0.3856,32.30292368,6,1,LTH,,,
7/20/2021,A01,A01W,4035,205.59,0.4773,23.21610973,6,1,LTH,,,
7/20/2021,A01,A01W,4036,67.49,0.1795,26.59653282,6,1,LTH,,,
7/20/2021,A01,A01W,4037,42.13,0.0958,22.73914075,6,1,LTH,,,
7/19/2021,A02,A02W,4040,209,0.6193,29.63157895,6,1,LTH,,,
7/19/2021,A02,A02W,4041,91.19,0.2391,26.21998026,6,1,LTH,,,
7/19/2021,A02,A02W,4042,232.17,0.5276,22.72472757,6,1,LTH,,,
7/19/2021,A02,A02W,4043,145.12,0.4675,32.21471885,6,1,LTH,,,
7/19/2021,A02,A02W,4046,40.95,0.1138,27.78998779,6,1,LTH,,,
7/19/2021,A02,A02W,4047,27.86,0.0647,23.22325915,6,1,LTH,,,
7/19/2021,A02,A02W,4048,81.4,0.3237,39.76658477,6,1,LTH,,,
7/19/2021,A04,A04W,4055,63.95,0.1263,19.74980453,6,1,LTH,,,
