"","Filename","final_ID","Species","Subplot","Veg_plot","In_out","Leaf_area_cm2","Leaf_mass_g","LMA_gm2","IRGA_covered_area","Asat_multiplier","Notes"
"54","A03E_fagr_04_08032018",4000,"fagr","A03E","SE","o",50.47,0.1285,25.4606697,6,1,""
"55","A03E_fagr_05_08032018",2508,"fagr","A03E","SE","o",72.72,0.2285,31.42189219,6,1,""
"56","A03E_fagr_06_08032018",4003,"fagr","A03E","SW","i",63.03,0.154,24.43280977,6,1,""
"57","A03E_fagr_07_08032018",4004,"fagr","A03E","SW","i",80.38,0.2986,37.14854441,6,1,""
"58","A03E_fagr_08_08032018",2554,"fagr","A03E","NW","i",66.59,0.1661,24.94368524,6,1,""
"59","A03E_fagr_09_08032018",2552,"fagr","A03E","NW","i",42.85,0.0969,22.61376896,6,1,""
"60","A03E_fagr_10_08032018",2553,"fagr","A03E","NW","i",58.22,0.1645,28.25489523,6,1,"two stems, 1 is less than 1cm"
"61","A03W_acpe_01_08032018",4006,"acpe","A03W","NE","i",210.31,0.657,31.23959869,6,1,"very dried out"
"62","A03W_acpe_02_08032018",2388,"acpe","A03W","SE","i",45.27,0.102,22.5314778,6,1,"disregard second CID file; RESOLVED 11/27/18"
"63","A03W_acpe_03_08032018",4009,"acpe","A03W","SE","i",166.96,0.516,30.90560613,6,1,"very dried out"
"64","A03W_fagr_01_08032018",2362,"fagr","A03W","NE","i",73.67,0.2021,27.43314782,6,1,""
"65","A03W_fagr_02_08032018",4007,"fagr","A03W","NE","i",46.48,0.1228,26.41996558,6,1,""
"66","A03W_fagr_03_08032018",4010,"fagr","A03W","SE","i",37.8,0.1019,26.95767196,6,1,""
"67","A03W_fagr_04_08032018",4011,"fagr","A03W","SW","i",50.65,0.1575,31.09575518,6,1,""
"68","A03W_fagr_05_08032018",4012,"fagr","A03W","SW","i",24.9,0.0649,26.06425703,6,1,""
"69","A03W_fagr_06_08032018",4013,"fagr","A03W","SW","o",61.93,0.1745,28.176974,6,1,""
"70","A03W_fagr_07_08032018",4015,"fagr","A03W","NW","i",51.54,0.1296,25.14551804,6,1,"between 07 and 08, realized foam below IRGA mouth had slid, blocking part of the 2 x 3 cm opening.  Think it may have just happened when IRGA fell, but could have happened earlier in day.  I repositioned the foam."
"71","A03W_fagr_08_08032018",4016,"fagr","A03W","NW","o",44.19,0.1067,24.14573433,6,1,""
"72","A03W_fagr_09_08032018",4017,"fagr","A03W","NW","o",74.26,0.1722,23.18879612,6,1,""
"73","A04E_acpe_01_08022018",2684,"acpe","A04E","NE","i",35.34,0.0971,27.47594793,6,1,""
"74","A04E_acpe_02_08022018",4066,"acpe","A04E","NE","i",60.08,0.1799,29.94340879,6,1,""
"75","A04E_acpe_03_08022018",4067,"acpe","A04E","NE","i",66.52,0.1845,27.73601924,6,1,""
"76","A04E_acpe_04_08022018",2733,"acpe","A04E","SW","i",92.83,0.2216,23.87159323,6,1,""
"77","A04E_acpe_05_08022018",4071,"acpe","A04E","SW","o",70.4,0.1904,27.04545455,6,1,""
"78","A04E_acpe_06_08022018",4072,"acpe","A04E","SW","o",52.25,0.1116,21.35885167,6,1,""
"79","A04E_acpe_07_08022018",4073,"acpe","A04E","NW","o",210.09,0.5694,27.10267028,6,1,""
"80","A04E_acpe_08_08022018",4074,"acpe","A04E","NW","o",94.68,0.2425,25.61258978,6,1,""
"81","A04E_fagr_01_08022018",2708,"fagr","A04E","SE","o",50.62,0.1204,23.78506519,6,1,""
"82","A04E_fagr_02_08022018",2709,"fagr","A04E","SE","o",65.16,0.171,26.24309392,6,1,""
"83","A04E_fagr_03_08022018",2718,"fagr","A04E","SE","o",62.29,0.1434,23.02135174,6,1,""
"84","A04E_fagr_04_08022018",2760,"fagr","A04E","NW","o",59.53,0.1617,27.16277507,6,1,""
"85","A04W_acsa_01_08022018",2643,"acsa","A04W","SW","o",73.72,0.2045,27.74009767,6,1,""
"86","A04W_fagr_01_08022018",4055,"fagr","A04W","NE","o",79.46,0.1657,20.8532595,6,1,""
"87","A04W_fagr_02_08022018",2593,"fagr","A04W","NE","o",103.66,0.2327,22.44838896,6,1,"use second CID measurement; RESOLVED 11/27/18"
"88","A04W_fagr_03_08022018",4056,"fagr","A04W","NE","o",64.56,0.1774,27.47831475,6,1,""
"89","A04W_fagr_04_08022018",4058,"fagr","A04W","SE","o",60.98,0.153,25.09019351,6,1,""
"90","A04W_fagr_05_08022018",4059,"fagr","A04W","SE","o",87.5,0.2197,25.10857143,6,1,""
"91","A04W_fagr_06_08022018",4060,"fagr","A04W","SE","o",53.25,0.1154,21.6713615,6,1,""
"92","A04W_fagr_07_08022018",2647,"fagr","A04W","SW","o",57.07,0.1424,24.95181356,6,1,""
"93","A04W_fagr_08_08022018",4062,"fagr","A04W","SW","o",78.04,0.1725,22.10404921,6,1,""
"94","A04W_fagr_09_08022018",4063,"fagr","A04W","NW","i",71.22,0.1792,25.1614715,6,1,""
"95","A04W_fagr_10_08022018",2668,"fagr","A04W","NW","o",47.74,0.111,23.25094261,6,1,""
"96","A04W_fagr_11_08022018",4064,"fagr","A04W","NW","o",63.01,0.1343,21.31407713,6,1,""
"97","B01E_acpe_01_08012018",4095,"acpe","B01E","SW","i",260.65,0.82208,31.53961251,6,1,""
"98","B01E_acpe_02_08012018",1742,"acpe","B01E","NW","i",224.71,0.6752,30.04761693,6,1,""
"99","B01E_amel_01_08012018",4099,"amel","B01E","NE","i",13.92,0.04725,33.94396552,6,1,"second CID file is error; RESOLVED 11/27/18"
"100","B01E_fagr_01_08012018",1663,"fagr","B01E","NE","i",62.15,0.17397,27.99195495,6,1,""
"101","B01E_fagr_02_08012018",4100,"fagr","B01E","NE","o",97.63,0.25428,26.04527297,6,1,""
"102","B01E_fagr_03_08012018",4102,"fagr","B01E","SE","o",69.05,0.19132,27.70745836,6,1,""
"103","B01E_fagr_04_08012018",4101,"fagr","B01E","SE","o",42.72,0.12951,30.31601124,6,1,""
"104","B01E_fagr_05_08012018",4096,"fagr","B01E","SW","o",76.72,0.20549,26.78441084,6,1,""
"105","B01E_fagr_06_08012018",4097,"fagr","B01E","SW","o",47.54,0.11645,24.49516197,6,1,""
"106","B01E_fagr_07_08012018",1741,"fagr","B01E","NW","i",64.72,0.17548,27.11372064,6,1,""
"107","B01E_fagr_08_08012018",4098,"fagr","B01E","NW","i",66.55,0.17595,26.43876784,6,1,""
"108","B01E_quru_01_08012018",1680,"quru","B01E","SE","i",167.88,0.8817,52.5196569,6,1,""
"109","B01W_acpe_01_08012018",4103,"acpe","B01W","NE","i",183.57,0.56395,30.72125075,6,1,""
"110","B01W_acru_01_08012018",1594,"acru","B01W","SE","i",29.48,0.11424,38.75169607,6,1,""
"111","B01W_acru_02_08012018",1592,"acru","B01W","SE","i",40.27,0.14015,34.80258257,6,1,""
"112","B01W_fagr_01_08012018",4104,"fagr","B01W","NE","i",78.6,0.18716,23.81170483,6,1,""
"113","B01W_fagr_02_08012018",4105,"fagr","B01W","NE","i",69.28,0.16992,24.52655889,6,1,""
"114","B01W_fagr_03_08012018",1595,"fagr","B01W","SE","i",66.84,0.17561,26.27318971,6,1,"failed to stabilize readily, kept climbing; disregard first five logs in LICOR file; also, saved at 1:34p.m. on CID erroneously as FAGR_02, resaved as FAGR_03. FAGR_03 is the correct data file; RESOLVED the CID issue, 11/27/18"
"115","B01W_fagr_04_08012018",1627,"fagr","B01W","SW","i",41.33,0.08696,21.04040648,6,1,""
"116","B01W_fagr_05_08012018",1631,"fagr","B01W","SW","i",36.95,0.10127,27.40730717,6,1,""
"117","B01W_fagr_06_08012018",1628,"fagr","B01W","SW","i",51.24,0.12027,23.47189696,6,1,"ignore first five logs on the LICOR file"
"118","B01W_fagr_07_08012018",1647,"fagr","B01W","NW","i",80.48,0.18536,23.03180915,6,1,""
"119","B01W_fagr_08_08012018",1649,"fagr","B01W","NW","i",105.15,0.26522,25.22301474,6,1,""
"120","B01W_fagr_09_08012018",4106,"fagr","B01W","NW","i",39.34,0.088553,22.50965938,6,1,""
"121","B02E_acpe_01_07292018",1780,"acpe","B02W","SE","i",241.61,0.6821,28.23144737,6,1,""
"122","B02E_acpe_02_07292018",4083,"acpe","B02W","SW","o",72.95,0.2296,31.47361206,6,1,""
"123","B02E_acpe_03_07292018",4076,"acpe","B02W","SW","o",230.59,0.6353,27.55106466,6,1,""
"124","B02E_amel_01_07292018",4084,"amel","B02W","SE","o",27.64,0.0978,35.38350217,6,1,""
"125","B02E_fagr_01_07292018",1756,"fagr","B02W","NE","o",60.98,0.1783,29.23909479,6,1,""
"126","B02E_fagr_02_07292018",1755,"fagr","B02W","NE","o",54.84,0.1357,24.74471189,6,1,""
"127","B02E_fagr_03_07292018",1752,"fagr","B02W","NE","o",54.17,0.1346,24.84770168,6,1,""
"128","B02E_fagr_04_07292018",4080,"fagr","B02W","SE","o",60.18,0.154,25.58989698,6,1,""
"129","B02E_fagr_05_07292018",4077,"fagr","B02W","SW","o",52.61,0.1246,23.68371032,6,1,"very close / sprout of #1820; infected with beach bark disease"
"130","B02E_fagr_06_07292018",1834,"fagr","B02W","NW","i",69.45,0.1747,25.15478762,6,1,""
"131","B02E_fagr_07_07292018",4078,"fagr","B02W","NW","o",57.6,0.161,27.95138889,6,1,""
"132","B02E_fagr_08_07292018",4082,"fagr","B02W","NW","o",59.69,0.151,25.29736974,6,1,""
"133","B02W_acpe_01_07292018",4079,"acpe","B02E","NE","o",52.22,0.1536,29.41401762,6,1,""
"134","B02W_acpe_02_07292018",1884,"acpe","B02E","SE","i",128.3,0.3965,30.90413094,6,1,""
"135","B02W_acpe_03_07292018",4094,"acpe","B02E","NW","o",170.36,0.4599,26.99577366,6,1,""
"136","B02W_fagr_01_07292018",4085,"fagr","B02E","NE","o",57.12,0.1565,27.39845938,6,1,""
"137","B02W_fagr_02_07292018",4087,"fagr","B02E","NE","o",69.41,0.1737,25.02521251,6,1,""
"138","B02W_fagr_03_07292018",4088,"fagr","B02E","SE","i",52.06,0.1236,23.74183634,6,1,"untagged, but should be tagged at the DBH"
"139","B02W_fagr_04_07292018",4089,"fagr","B02E","SE","o",59.27,0.1735,29.2728193,6,1,""
"140","B02W_fagr_05_07292018",4090,"fagr","B02E","SW","i",55.64,0.1984,35.65780014,6,1,""
"141","B02W_fagr_06_07292018",4091,"fagr","B02E","SW","o",42.09,0.1188,28.22523165,6,1,""
"142","B02W_fagr_07_07292018",4092,"fagr","B02E","SW","o",46.51,0.1229,26.42442485,6,1,""
"143","B02W_fagr_08_07292018",1949,"fagr","B02E","NW","o",55.57,0.152,27.35288825,6,1,""
"144","B02W_fagr_09_07292018",4093,"fagr","B02E","NW","o",84.71,0.1903,22.46488018,6,1,"recalibrated CID after fagr_09, noticed drift near 100nm; repeated fagr_09, fagr_08 measurements; RESOLVED 11/27/18"
"145","B03E_acpe_01_07292018",2061,"acpe","B03W","NW","i",50.5,0.1842,36.47524752,6,1,"shares base with untagged (but shoud be tagged) 1-2 cm stem"
"146","B03E_acru_01_07292018",3278,"acru","B03W","SW","o",36.84,0.1383,37.54071661,6,1,""
"147","B03E_fagr_01_07292018",1968,"fagr","B03W","NE","i",65.33,0.1675,25.63906322,6,1,""
"148","B03E_fagr_02_07292018",3272,"fagr","B03W","NE","o",64.13,0.145,22.61032278,6,1,""
"149","B03E_fagr_03_07292018",3273,"fagr","B03W","NE","o",75.46,0.2071,27.44500398,6,1,""
"150","B03E_fagr_04_07292018",2003,"fagr","B03W","SE","i",55.33,0.1566,28.30290981,6,1,""
"151","B03E_fagr_05_07292018",3276,"fagr","B03W","SE","o",57.69,0.14,24.26763737,6,1,""
"152","B03E_fagr_06_07292018",3277,"fagr","B03W","SE","o",78.93,0.1964,24.88280755,6,1,""
"153","B03E_fagr_07_07292018",3279,"fagr","B03W","SW","o",80.89,0.2481,30.67128199,6,1,""
"154","B03E_fagr_08_07292018",3280,"fagr","B03W","SW","o",49.06,0.2045,41.68365267,6,1,""
"155","B03E_fagr_09_07292018",2062,"fagr","B03W","NW","i",80.68,0.2104,26.07833416,6,1,""
"156","B03E_fagr_10_07292018",2060,"fagr","B03W","NW","i",103.63,0.2978,28.73685226,6,1,""
"157","B03W_acpe_01_07292018",3261,"acpe","B03E","SE","o",202.32,0.8629,42.65025702,6,1,""
"158","B03W_acru_01_07292018",2130,"acru","B03E","NW","i",62.15,0.2283,36.73370877,6,1,""
"159","B03W_acru_02_07292018",3270,"acru","B03E","NW","o",63,0.2002,31.77777778,6,1,""
"160","B03W_fagr_01_07292018",3257,"fagr","B03E","NE","i",33.09,0.0885,26.74524025,6,1,""
"161","B03W_fagr_02_07292018",3258,"fagr","B03E","NE","o",75.37,0.2369,31.43160409,6,1,""
"162","B03W_fagr_03_07292018",3259,"fagr","B03E","NE","o",59.26,0.154,25.98717516,6,1,""
"163","B03W_fagr_04_07292018",3262,"fagr","B03E","SE","o",61.36,0.1591,25.92894394,6,1,""
"164","B03W_fagr_05_07292018",3263,"fagr","B03E","SE","o",45.68,0.1403,30.71366025,6,1,""
"165","B03W_fagr_06_07292018",3265,"fagr","B03E","SW","i",50.61,0.1431,28.27504446,6,1,""
"166","B03W_fagr_07_07292018",3266,"fagr","B03E","SW","i",25.61,0.0801,31.27684498,6,1,""
"167","B03W_fagr_08_07292018",3267,"fagr","B03E","SW","o",75.9,0.1888,24.87483531,6,1,""
"168","B03W_fagr_09_07292018",3271,"fagr","B03E","NW","i",53.79,0.1381,25.67391708,6,1,""
"169","B04E_acpe_01_07272018",2263,"acpe","B04E","NE","i",71.88,0.1819,25.30606566,6,1,""
"170","B04E_acpe_02_07272018",2262,"acpe","B04E","NE","i",116.36,0.3443,29.58920591,6,1,""
"171","B04E_acpe_03_07272018",4108,"acpe","B04E","SE","o",266.06,1.3869,52.1273397,6,1,""
"172","B04E_acpe_04_07272018",4111,"acpe","B04E","SW","o",296.53,1.0687,36.04019829,6,1,""
"173","B04E_acpe_05_07272018",2334,"acpe","B04E","NW","i",128.04,0.3074,24.00812246,6,1,""
"174","B04E_acru_01_07272018",4112,"acru","B04E","SE","o",70.9,0.2839,40.04231312,6,1,"leaning across the plot; felled by another tree"
"175","B04E_acru_03_07272018",2311,"acru","B04E","SW","i",73.26,0.2986,40.75894076,6,1,""
"176","B04E_fagr_01_07272018",4107,"fagr","B04E","NE","o",42.96,0.1265,29.44599628,6,1,"leaning across the plot; felled by another tree"
"177","B04E_fagr_02_07272018",4109,"fagr","B04E","SE","o",64.04,0.2204,34.41599001,6,1,""
"178","B04E_fagr_03_07272018",4110,"fagr","B04E","SW","o",51.06,0.1578,30.90481786,6,1,""
"179","B04E_fagr_04_07272018",4113,"fagr","B04E","NW","i",52.7,0.1533,29.08918406,6,1,""
"180","B04E_fagr_05_07272018",4114,"fagr","B04E","NW","i",34.57,0.0981,28.37720567,6,1,""
"181","B04W_acpe_01_07272018",2226,"acpe","B04W","NW","i",192.79,0.5646,29.28575134,6,1,""
"182","B04W_acpe_02_07272018",2227,"acpe","B04W","NW","i",198.27,0.5506,27.77021234,6,1,""
"183","B04W_acpe_03_07272018",2228,"acpe","B04W","NW","i",85.75,0.2576,30.04081633,6,1,""
"184","B04W_acru_01_07272018",4124,"acru","B04W","NE","i",45.9,0.1678,36.5577342,6,1,""
"185","B04W_acru_02_07272018",4125,"acru","B04W","NE","o",69.29,0.289,41.70876028,6,1,""
"186","B04W_acru_03_07272018",4123,"acru","B04W","NE","o",62.24,0.2328,37.40359897,6,1,""
"187","B04W_acru_04_07272018",4120,"acru","B04W","SE","o",67.27,0.2364,35.14196521,6,1,""
"188","B04W_fagr_01_07272018",4122,"fagr","B04W","SE","o",48.14,0.1385,28.77025343,6,1,""
"189","B04W_fagr_02_07272018",2206,"fagr","B04W","SW","i",48.52,0.1105,22.77411377,6,1,""
"190","B04W_fagr_03_07272018",4126,"fagr","B04W","SW","o",39.79,0.1061,26.6649912,6,1,""
"191","B04W_quru_01_07272018",4121,"quru","B04W","SE","o",47.94,0.173,36.08677514,6,1,""
"192","B04W_quru_02_07272018",4127,"quru","B04W","SW","o",25.23,0.0789,31.27229489,6,1,""
"193","C01E_fagr_01_07112018",3959,"fagr","C01E","SE","o",59.43,0.1529,25.72774693,6,1,""
"194","C01E_fagr_02_07112018",775,"fagr","C01E","SW","o",93.06,0.31,33.31184182,6,1,""
"195","C01E_fagr_03_07112018",3962,"fagr","C01E","SW","o",51.49,0.1404,27.26743057,6,1,""
"196","C01E_fagr_04_07112018",3963,"fagr","C01E","SW","o",70.85,0.192,27.099506,6,1,"shared base with 775"
"197","C01E_fagr_05_07112018",806,"fagr","C01E","NW","i",86.81,0.311,35.82536574,6,1,""
"198","C01E_fagr_06_07112018",805,"fagr","C01E","NW","i",57.48,0.1775,30.88030619,6,1,""
"199","C01E_fagr_07_07112018",3966,"fagr","C01E","NW","o",60.76,0.1918,31.56682028,6,1,""
"200","C01E_pist_01_07112018",736,"pist","C01E","NE","i",1.33,0.0115,86.46616541,1.33,4.511278195,""
"201","C01E_pist_02_07112018",737,"pist","C01E","NE","i",1.359,0.0077,56.65930831,1.359,4.415011038,""
"202","C01E_pist_03_07112018",3958,"pist","C01E","NE","o",1.541,0.0119,77.22258274,1.541,3.8935756,""
"203","C01E_pist_04_07112018",3960,"pist","C01E","SE","o",1.409,0.0108,76.65010646,1.409,4.258339248,""
"204","C01E_pist_05_07112018",3961,"pist","C01E","SE","o",1.154,0.0114,98.78682842,1.154,5.199306759,""
"205","C01W_acru_01_07112018",879,"acru","C01W","SW","o",52.71,0.2327,44.14722064,6,1,""
"206","C01W_amel_01_07112018",3950,"amel","C01W","SW","i",24.35,0.1057,43.40862423,6,1,""
"207","C01W_fagr_01_07112018",3951,"fagr","C01W","SW","o",71.93,0.2554,35.50674267,6,1,"some herbivory"
"208","C01W_fagr_02_07112018",3953,"fagr","C01W","NW","i",56.97,0.1823,31.99929788,6,1,""
"209","C01W_fagr_03_07112018",3954,"fagr","C01W","NW","o",40.93,0.1112,27.16833618,6,1,""
"210","C01W_fagr_04_07112018",3942,"fagr","C01W","NE","o",36.09,0.1232,34.13688002,6,1,""
"211","C01W_fagr_05_07112018",3943,"fagr","C01W","NE","o",46.17,0.1472,31.88217457,6,1,""
"212","C01W_fagr_06_07112018",3944,"fagr","C01W","NE","o",78.62,0.2663,33.87178835,6,1,""
"213","C01W_fagr_07_07112018",3948,"fagr","C01W","SE","o",45.91,0.1788,38.94576345,6,1,""
"214","C01W_fagr_08_07112018",3949,"fagr","C01W","SE","o",66.34,0.2351,35.43864938,6,1,""
"215","C01W_pist_01_07112018",NA,NA,NA,NA,NA,1.304,0.0099,75.9202454,1.304,4.601226994,""
"216","C01W_pist_02_07112018",NA,NA,NA,NA,NA,2.296,0.0189,82.31707317,2.296,2.613240418,"2 fascicles"
"217","C01W_pist_03_07112018",NA,NA,NA,NA,NA,2.342,0.019,81.12724167,2.342,2.561912895,"2 fascicles"
"218","C01W_pist_04_07112018",NA,NA,NA,NA,NA,1.416,0.0097,68.50282486,1.416,4.237288136,""
"219","C01W_pist_05_07112018",NA,NA,NA,NA,NA,2.708,0.0184,67.94682422,2.708,2.215657312,"2 fascicles; from field notes, ""what I logged as pist_05 is the plant outside the plot; pist_06 is inside"""
"220","C01W_pist_06_07112018",NA,NA,NA,NA,NA,2.022,0.0205,101.3847676,2.022,2.96735905,"2 fascicles; missing 2 needle segments"
"221","C01W_pist_07_07112018",NA,NA,NA,NA,NA,2.195,0.0214,97.49430524,2.195,2.733485194,"2 fascicles"
"222","C01W_pist_08_07112018",NA,NA,NA,NA,NA,2.451,0.0204,83.23133415,2.451,2.447980416,"2 fascicles"
"223","C01W_quru_01_07112018",3955,"quru","C01W","NW","i",177.22,1.0768,60.7606365,6,1,""
"224","C01W_quru_02_07112018",3947,"quru","C01W","SE","o",110.17,0.4927,44.72179359,6,1,""
"225","C02E_acpe_01_07122018",3980,"acpe","C02E","NE","o",182.12,0.5331,29.27190863,6,1,""
"226","C02E_acpe_02_07122018",3985,"acpe","C02E","SE","o",171.59,0.466,27.15775978,6,1,""
"227","C02E_acpe_03_07122018",3986,"acpe","C02E","SE","o",247.18,0.6438,26.04579659,6,1,""
"228","C02E_acpe_04_07122018",3988,"acpe","C02E","SW","o",124.35,0.3368,27.08484117,6,1,"disregard first five logs"
"229","C02E_acpe_05_07122018",3989,"acpe","C02E","SW","o",144.89,0.3681,25.40548002,6,1,""
"230","C02E_acpe_06_07122018",3990,"acpe","C02E","SW","o",45.94,0.1426,31.04048759,6,1,""
"231","C02E_acpe_07_07122018",3991,"acpe","C02E","NW","o",44.74,0.1402,31.33661153,6,1,""
"232","C02E_acpe_08_07122018",3992,"acpe","C02E","NW","o",335.29,1.0095,30.10826449,6,1,""
"233","C02E_acpe_09_07122018",3993,"acpe","C02E","NW","o",161.77,0.5427,33.54762935,6,1,""
"234","C02E_pist_01_07122018",3981,"pist","C02E","NE","o",1.237,0.0078,63.05578011,1.237,4.850444624,""
"235","C02E_pist_02_07122018",3982,"pist","C02E","NE","o",1.478,0.011,74.42489851,1.478,4.059539919,""
"236","C02E_pist_03_07122018",3987,"pist","C02E","SE","o",1.383,0.0104,75.19884309,1.383,4.338394794,""
"237","C02E_pist_04_07122018",1102,"pist","C02E","SW","i",1.447,0.0105,72.56392536,1.447,4.146510021,"failed to stabilize/become positive"
"238","C02E_pist_05_07122018",1101,"pist","C02E","SW","i",1.302,0.0086,66.05222734,1.302,4.608294931,"failed to stabilize/become positive"
